Product Name,Average Rating,User Rating,Title,Review
"OPPO A3x (Nebula Red, 64 GB) Reviews",4.1,5,Awesome,This can be gifted to parents
,,5,Fabulous!,Oppo A3x Amazing product.Value for Money.. Made in india As  a influncer go for it ✨
,,5,Great product,Nice looking
,,5,Highly recommended,Camera nice Battery nice Performance good
,,5,Awesome,Nyc product
,,5,Perfect product!,Good news
,,5,Terrific purchase,Front camera good quality But back camera battery backup mob design very good and cheap and best
,,5,Awesome,GOOD camera performance Good battery's performce Good touch
,,5,Terrific purchase,Good product
,,3,Does the job,Battery backup is very bad not worth it need to charge the phone every 4 to 5 hours. And camera is ok ok
,,3,Fair,Ok good
,,5,Brilliant,Good
,,5,Terrific purchase,Heavy Product 😁
,,5,Awesome,Bast
,,5,Terrific purchase,Nice
,,4,Value-for-money,It's Good
,,5,Best in the market!,Love to price
,,5,Super!,Nice mobile
,,5,Best in the market!,Nice phon
,,5,Fabulous!,"Oppo is gold very nice, flifcart thainku"
,,4,Pretty good,Good
,,5,Worth every penny,It is very beautiful design
,,5,good product,good product
,,5,Classy product,Nice
,,5,Terrific purchase,Very good 😊
,,2,Could be way better,Battery backup is poor
,,4,Pretty good,Nice
,,1,Unsatisfactory,Very bad experience for this phone
,,5,Awesome,Nice
,,1,Unsatisfactory,Please don't buy because mobile is Activated
,,1,Absolute rubbish!,"Heating problem,it's get heating with 10 mins of use."
,,5,Super!,Nice n appropriate one in small budget
,,5,Classy product,Supar
,,1,Unsatisfactory,Battery draining
,,1,Not recommended at all,Vaste of money and mobile camera very poor and mobile is hanged Flipkart not changed mobile not replesment and not any problem solved
,,5,Worth every penny,Performance good
,,5,Best in the market!,Awesome experience 😃
,,5,Terrific,Good 👍👍👍
,,1,Don't waste your money,Berry bad
,,1,Worthless,Camera not good
,,4,Really Nice,Good product at low price
,,1,Worthless,New phone but lagging app run
,,5,Brilliant,Good
,,1,Terrible product,Extremely poor product
,,5,Must buy!,Good
,,1,Worthless,Not working properly very slow software don't buy
,,5,Mind-blowing purchase,Good
,,5,Terrific,Good quality best camera perfect display
,,3,Good,Above average
,,4,Good choice,Best phone in this budget
,,4,Nice product,Phone is good But the 1st delivery partner is very bad
,,5,Fabulous!,Very good mobile for this price range.
,,5,Just wow!,Over all good I present my love ....worth the cost ..my love feel so good while I present him
,,4,Good quality product,"Even though it is a 4G mobile, the mobile's performance is good."
,,3,Decent product,Good phone.
,,5,Awesome,Good performance
,,5,Mind-blowing purchase,Nice pic
,,3,Just okay,Good
,,5,Simply awesome,Very good phone
,,3,Fair,Good
,,4,Wonderful,A good device for elderly people
,,5,Terrific,Not bad
,,2,Not good,Lazy Phone 😡😡😡
,,1,Worthless,"The quality of this phone is very bad, there is a hanging problem and the camera quality and performance of the phone is very bad and Flipkart is not providing any customer care support, please do not buy this product and do not buy any mobile phone at all, there is no support from Flipkart"
,,5,Terrific,Super
,,4,Pretty good,Value for money
,,1,Useless product,Good baat battery the no backup
,,5,Perfect product!,Performance issues that due to the chipset and
,,5,Simply awesome,Awesome 👍
,,4,Nice product,Value for Money 💰
,,4,Very Good,Very nice phone
,,5,Great product,Very good
,,1,Absolute rubbish!,Very low quality camera and screen
,,1,Unsatisfactory,"The worst phone I bought ever by performance. Don't buy this. I like Oppo phones, but I don't suggest this phone for anyone. Snapdragon is just for name"
,,5,Just wow!,Super pice ❤️❤️
,,5,Super!,Okay
,,5,Must buy!,Very good
,,5,Brilliant,A good product
,,5,Mind-blowing purchase,Good
,,3,Good,Good product
,,1,Terrible product,Some Apps are not working and waste your money to buy this product. I am an Oppo lover but didn't expect this.
,,1,Very poor,"This is a very bad product, it had a hanging problem on the first day itself, it is very bad, please do not buy it"
,,5,Super!,Excellent 👌
,,1,Did not meet expectations,Worst mobile ever
